word1,word1_FE,word2,word2 FE,generated_sentence
bottom,Attachment,look,Possessor,which are usually at the bottom of their body which are usually at the bottom of their
bottom,Degree,look,Individuals,not many from a sound s place of articulation p to look like the widened mouth
bottom,Circumstances,look,Container_possessor,anarchist his position demanded that he look to the wellbeing constantly ranks in the bottom group
bottom,Individuals,look,Mass,look white and have high albedo because the water is foamed up were few as well as stirring up the bottom sediment
bottom,Degree,look,Mass,look white and have high albedo because the water is foamed up many who exhibited the social revolt characteristics of later anarchists
bottom,Count,look,Unit,so the gate would look properly ravaged by year so the gate would look properly ravaged by
bottom,Event,look,Rate,have to go to look for it hour common have to go to look for it
bottom,Explanation,look,Focal_occasion,on the space at the bottom of the steps leading from waterloo place to st in church history unlike the unk bishopric of chur
bottom,Context_of_acquaintance,look,Origin,words butter bottle bottom button english defence forces as a look out post for the coast watching service wing of the defence forces
bottom,Place,look,Circumstances,to the bottom the roman legionaries to look down on their emperor as one who was prepared to commit unk conduct
bottom,Individuals,look,Quantity,and would carefully look into nearly developed what many consider the as well as stirring up the bottom sediment
bottom,Focal_occasion,look,Explanation,mobility his anarchist ideas to an who was on the look out for new fantasy novels
bottom,Context_of_acquaintance,look,Person,an words butter bottle bottom button cuisine in its exhibit sweet sour a look at the history of chinese food in the united states
bottom,Landmark,look,Time,it caused the roman legionaries to look down on their emperor as one who was to top
bottom,Time,look,Landmark,next to the bottom were middle easterners who began to look like the tongue pulled in
bottom,Denoted_quantity,look,Mass,designs may be adjusted for an optimal angle depending on the bottom type some which look and act very
bottom,Part,look,Whole,which is made to look like the bottom and is being hauled up to be stowed right to
bottom,Container_possessor,look,Constituent_parts,chapters one and two look at the and saying you just have to let the bottom drop out of the
bottom,Goal,look,Result,hibernate at the bottom of ponds taken place of articulation p to look like the widened mouth
bottom,Time,look,Agent,of reducing schooling costs by the location of the bone in the body along the bottom margin of the torso and partially
bottom,Group,look,Rate,whereas have to go to look for it always at the bottom of their heads anarchy have to go to look for it
bottom,Circumstances,look,Explanation,of getting a grip on the bottom responsible lincoln to look toward religion for answers and solace
bottom,Explanation,look,Circumstances,themselves look large and fierce responsible newspaper to use the headline agnetha s bottom tops dull show
bottom,Place,look,Explanation,as a revolutionary organization was undoubtedly to a great extent to the bottom ali to look after his family
bottom,Event,look,Distance,sinks to the bottom and is tapped off to look after the former as after sinks to the bottom and is tapped off
bottom,Medium,look,Genre,use the headline agnetha s bottom tops dull show accounts story for look magazine in 1943
bottom,Genre,look,Medium,in 1943 accounts of uncompressed gas will compress down to 100 cc when the piston goes from bottom to top
bottom,Landmark,look,Profiled_region,look the truth so i poured the milk that was milked to the vessel and i waited until the bottom was cold
bottom,Expressor,look,Circumstances,seas and were covered with sediments in an environment and converted over many millions of years at high temperatures and leader new
bottom,Place,look,Creator,vast futuristic look with an electric style embedded into it the bottom nappe vast futuristic look with an electric style embedded into it
bottom,Landmark,look,Path,so i d have to really take care to look backwards as i m backing right the bottom sediment
bottom,Path,look,Landmark,to the bottom right on their emperor as one who was prepared to commit unk conduct
bottom,Individuals,look,Denoted_quantity,much frogs and toads inflate themselves to make themselves look large and fierce additional unk from the sea bottom
bottom,Event,look,Landmark_event,sinks to the bottom and is tapped off after look after the former as after friends and relatives
bottom,Event_description,look,Landmark_entity,to bury in the bottom look at a common example of adiabatic compression the compression stroke in a gasoline engine not syndicalist itself
bottom,Degree,look,Quantity,and would carefully look into nearly johnson is a particular favorite for the bottom of the pile sides of the cold war
bottom,Mass,look,Quantity,and would carefully look into nearly both if the top trace of figure 2 depicts the frequency of m t the bottom
bottom,Circumstances,look,Time,would look properly ravaged seen as a i poured the milk that was milked to the vessel and i waited until the bottom was
bottom,Explanation,look,Time,would look properly ravaged so palpable locally and newspaper to use the headline agnetha s bottom tops dull show
bottom,Person,look,Origin,would drag the ship to the bottom of the sea was prepared to commit unk conduct
bottom,Origin,look,Person,the look of a man began migrating to antigua and barbuda around the turn of the 20th century
bottom,Time,look,Profiled_region,next to the bottom were middle easterners who began look the truth to perform better cognitively than those with autism
bottom,Place,look,Time,would look properly ravaged to the bottom of the anterior insula unk emotional salience to mundane events
bottom,Time,look,Circumstances,causing one australian newspaper to use the headline agnetha s bottom tops dull in visible that mitchell and webb look
bottom,Path,look,Roadway,bottom trail to look at dust grains floating in water and discovered that they moved about erratically a phenomenon that became known
bottom,Event_description,look,Trajector_entity,to bury in the bottom buildings look unk when they have been now alabama since 1763
bottom,Time,look,Exerter,instead slowly turning in the bottom to align with strong effect as well on the look of the action scenes in that film
bottom,Purpose,look,Time,hooker people who look on you as antichrist by lee weight and by their friction along the bottom
bottom,Time,look,Region_quantification,various shelves along the margins of the continents constitute about 11 of the bottom topography with few deep channels cut started to look across
bottom,Time,look,Result,and subsequently on the space at the bottom of the steps leading from waterloo place of articulation p to look like the widened mouth
